protocolType,SETS_setName,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,Analysis_Status
FTN,FTNURU,South,2021.0,2021-10-15 00:00:00.000000 UTC,ORODR3_YOUNG_ELCARDO_EARLY_F21,-32.6330374,-57.8142122,NEXT226PW,PDIP,,60.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2021-12-30 00:00:00.000000 UTC,SRUIZ_SANTATERESITA_ELARENAL_M22,-27.799051,-65.549998,NEXT258PWU,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2023-01-18 00:00:00.000000 UTC,CSALO9_TINTINA_LALUISA_F22,-26.9658859,-62.915796,SYN126VIP3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPL,South,2021.0,2021-12-07 00:00:00.000000 UTC,GCHWS_BOWER_MIRANDA_LATE_F,-31.5685849,-64.0948655,DK7210RR2,PDIP,,100.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPL,South,2022.0,2022-12-26 00:00:00.000000 UTC,DBORE_IMPIRA_AIMAR_LATE_F22,-31.817210333977,-63.611313953026,DK7210RR2,PDIP,,4.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURU,South,2021.0,2021-12-07 00:00:00.000000 UTC,ORODR3_NOBLIA_RONALDSILVERA_LATE_2122,-31.9213116,-54.0577316,NEXT226PW,PDIP,,75.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2023-02-07 00:00:00.000000 UTC,SRUIZ_LASLAJITAS_PALAVECINO_F22,-24.75315,-64.25368,P2089VYHR,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2022.0,2022-12-17 00:00:00.000000 UTC,ORODR3_LIBERTAD_IGNACIOALBANECE_2223_LATE,-34.6097465,-56.660994,DK7210VT3P,PDIP,,11.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2023-02-07 00:00:00.000000 UTC,SRUIZ_LASLAJITAS_PALAVECINO_F22,-24.75315,-64.25368,DK7210VT3P,PDIP,,50.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPL,South,2022.0,2022-12-27 00:00:00.000000 UTC,VVSENK_GUALEGUAYCHU_AUFEL_LATE_F22,-33.10951867,-58.77645728,NEXT226PWE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-05 00:00:00.000000 UTC,SRUIZ_COUREL_ELCHARCO_M22,-27.2813234,-64.6873371,DK7330TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPA2,South,2022.0,2022-11-08 00:00:00.000000 UTC,RLOPE1_BALCARCE_MOROCHA_EARLY_FAMB22,-37.638108137859,-58.654653287044,DK7210RR2,PDIP,,1.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-21 00:00:00.000000 UTC,CSALO9_TINTINA_GPAGRO_F,-27.1870324,-62.6188492,DK7330TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPA2,South,2022.0,2022-10-20 00:00:00.000000 UTC,RLOPE1_BALCARCE_NUEVAHUELLA_EARLY_FAMB22,-37.715275503299,-58.403892458878,DK7210RR2,PDIP,,1.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2023-02-03 00:00:00.000000 UTC,SRUIZ_LASLAJITAS_CRESUD_F22,-24.78659,-63.74809,P2089VYHR,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPL,South,2022.0,2022-12-05 00:00:00.000000 UTC,GLNQJ_TRENQUELAUQUEN_YARZA_LATE_FFUNG22,-36.1538758,-62.5857026,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-05 00:00:00.000000 UTC,SRUIZ_COUREL_ELCHARCO_M22,-27.2813234,-64.6873371,DK7330VT3P,PDIP,,15.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2022-12-29 00:00:00.000000 UTC,SRUIZ_LOSALTOS_CONSOLE_F22,-27.953004142929,-65.463638377224,SYN126VIP3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURU,South,2021.0,2021-09-28 00:00:00.000000 UTC,ORODR3_YOUNG_IANSTOSKY_EARLY_F21,-32.5721048,-57.7477798,DK7210VT3P,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-21 00:00:00.000000 UTC,CSALO9_PAMPADELINFIERNO_MANAGRO_F,-26.325181411891,-61.029156794543,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-07 00:00:00.000000 UTC,SRUIZ_BRIZ_TOROPOZO_M22,-27.111566778935,-64.732379456279,DK7210RR2,PDIP,,45.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPL,South,2021.0,2021-09-13 00:00:00.000000 UTC,GCHWS_VILLA SAN JOSE_PAIRONE_EARLY_F,-31.346203372555,-61.610102323962,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2022.0,2022-12-20 00:00:00.000000 UTC,ORODR3_BLANQUILLO_GONZALOCARLE_2223_LATE,-32.8690438,-55.6616871,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPL,South,2021.0,2022-01-22 00:00:00.000000 UTC,VVSENK_MEINARDI_EMILIA_LATE_F,-31.0875585,-60.7350537,DK7330TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2023-01-07 00:00:00.000000 UTC,CSALO9_RIOMUERTO_VICENTIN_F22,-25.8016609,-61.549781,SYN126VIP3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2022-12-30 00:00:00.000000 UTC,CSALO9_FRENTONES_VICENTIN_F22,-26.3146109,-61.577004,DK7210VT3P,PDIP,,27.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2023-01-17 00:00:00.000000 UTC,CSALO9_QUIMILI_CABURE_F22,-27.4688499,-62.513698,SYN126VIP3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURU,South,2021.0,2021-10-13 00:00:00.000000 UTC,ORODR3_LIBERTAD_UFO_EARLY_F21,-34.5990325,-56.5560896,NEXT226PW,PDIP,,5.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-02-11 00:00:00.000000 UTC,CSALO9_TRESISLETAS_MATESAMARTIN_F,-26.2749387,-60.3791705,SYN126VIP3,PDIP,,10.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-24 00:00:00.000000 UTC,SRUIZ_ESPEJO_7DEABRIL_M22,-26.2559675,-64.4912746,DK7210RR2,PDIP,,20.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPL,South,2022.0,2022-12-12 00:00:00.000000 UTC,DBORE_CALCHIN_GRIBAUDO_LATE_F22,-31.70450387,-63.26972402,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2022.0,2022-11-05 00:00:00.000000 UTC,ORODR3_SORIANO_WILLYDABALA_2223_EARLY,-33.3234594,-57.5350316,NK979VIP3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPL,South,2021.0,2021-09-22 00:00:00.000000 UTC,VVSENK_REDOMON_CAMPOAVANZADA_EARLY_F,-31.056194,-58.359944,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2023-01-06 00:00:00.000000 UTC,CSALO9_FRENTONES_MONTORO_F22,-26.491272,-61.427115,P2089VYHR,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-19 00:00:00.000000 UTC,SRUIZ_IBARRA_AGUILARES_M22,-27.3652267,-65.7388726,SYN126VIP3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2023-01-17 00:00:00.000000 UTC,CSALO9_QUIMILI_CABURE_F22,-27.4688499,-62.513698,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2023-01-05 00:00:00.000000 UTC,CSALO9_BANDERA_LOSHORNOS_F22,-28.8131669,-62.238972,SYN126VIP3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPL,South,2021.0,2021-10-12 00:00:00.000000 UTC,GGBLAN_MOLDES_CHASCO_F,-33.6301642,-64.4670747,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPL,South,2021.0,2021-09-15 00:00:00.000000 UTC,DBORE_CORRALDEBUSTOS_TRECCO_EARLY_F,-33.349347331284,-62.167135037647,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-07 00:00:00.000000 UTC,SRUIZ_BRIZ_TOROPOZO_M22,-27.111566778935,-64.732379456279,DK7330TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURU,South,2021.0,2021-12-17 00:00:00.000000 UTC,ORODR3_PALOSOLO_LASOLANA_LATE_2122,-33.7374348,-57.9367587,DK7210VT3P,PDIP,,45.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-24 00:00:00.000000 UTC,CSALO9_CAMPOLARGO_LUISDODERO_F,-26.8168281,-60.9927946,DK7330VT3P,PDIP,,15.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2022.0,2022-12-05 00:00:00.000000 UTC,ORODR3_YOUNG_ELTREBOLDCASISA_2223_LATE,-32.6305329,-57.5437391,DK7210RR2,PDIP,,48.0,,H2H_STABILITY_SURVIVAL
FTN,GEOFTNNAP,North,2022.0,2023-01-14 00:00:00.000000 UTC,SRUIZ_ANTILLA_CUSILLOS_GEO22,-26.33759814,-64.53184202,P2089VYHR,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-07 00:00:00.000000 UTC,SRUIZ_BRIZ_TOROPOZO_M22,-27.111566778935,-64.732379456279,NEXT258PWU,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-28 00:00:00.000000 UTC,CSALO9_TRESISLETAS_GALICH_F,-26.348405980128,-60.495573243035,DK7210RR2,PDIP,,100.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMPL,South,2021.0,2021-12-18 00:00:00.000000 UTC,DBORE_VILLAMARIA_ONAINTY_LATE_F,-32.42268299,-63.143872,DK7330VT3P,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-24 00:00:00.000000 UTC,SRUIZ_ESPEJO_7DEABRIL_M22,-26.2559675,-64.4912746,DK7330VT3P,PDIP,,15.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-25 00:00:00.000000 UTC,CSALO9_CAPDEVILLA_HYH_F,-27.417154,-61.5245549,P2089VYHR,PDIP,,5.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-24 00:00:00.000000 UTC,SRUIZ_JAVICHO_ISCAYACU_M22,-26.976320206976,-64.667720136988,SYN126VIP3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-11 00:00:00.000000 UTC,CSALO9_LOSFRENTONES_VICENTIN_F,-26.3704212,-61.4408693,SYN126VIP3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-29 00:00:00.000000 UTC,CSALO9_RIOMUERTO_SALOMON_F,-26.007026403377,-61.673505736441,DK7330VT3P,PDIP,,45.0,,H2H_STABILITY_SURVIVAL
