protocolType,SETS_setName,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,Analysis_Status
FTN,FTNTEMP,South,2023.0,2023-12-29 00:00:00.000000 UTC,EEBONA_MONTESDEOCA_JAVIER_LATE_F23,-32.61403071,-61.8283308,NEXT226PWUE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-29 00:00:00.000000 UTC,EEBONA_MONTESDEOCA_JAVIER_LATE_F23,-32.61403071,-61.8283308,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-29 00:00:00.000000 UTC,EEBONA_MONTESDEOCA_JAVIER_LATE_F23,-32.61403071,-61.8283308,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-29 00:00:00.000000 UTC,EEBONA_MONTESDEOCA_JAVIER_LATE_F23,-32.61403071,-61.8283308,DK7272VT3P,PDIP,,23.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-09-27 00:00:00.000000 UTC,EEBONA_ARMSTRONG_DELVECHIO_EARLY_F23,-32.8560826,-61.5566653,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-29 00:00:00.000000 UTC,EEBONA_MONTESDEOCA_JAVIER_LATE_F23,-32.61403071,-61.8283308,DK7210RR2,PDIP,,30.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-08 00:00:00.000000 UTC,SRUIZ_BURRUYACU_ELAZUL_F23,-26.44443102,-64.61489703,DK7270TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTUNT,North,2023.0,2024-01-14 00:00:00.000000 UTC,SRUIZ_ELTIMBO_PENALBA_FFUNG23,-26.58529902,-64.04977701,DK7210RR2,PDIP,,100.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-08 00:00:00.000000 UTC,SRUIZ_BENJAMINARAOZ_NEOCAMPO_F23,-26.59261701,-64.78445304,DK7210PRO4,PDIP,,1.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-08 00:00:00.000000 UTC,SRUIZ_BURRUYACU_ELAZUL_F23,-26.44443102,-64.61489703,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTUNT,North,2023.0,2024-01-14 00:00:00.000000 UTC,SRUIZ_ELTIMBO_PENALBA_FFUNG23,-26.58529902,-64.04977701,DK7270TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTUNT,North,2023.0,2024-01-14 00:00:00.000000 UTC,SRUIZ_ELTIMBO_PENALBA_FFUNG23,-26.58529902,-64.04977701,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-08 00:00:00.000000 UTC,SRUIZ_BENJAMINARAOZ_NEOCAMPO_F23,-26.59261701,-64.78445304,DK7210RR2,PDIP,,60.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-08 00:00:00.000000 UTC,SRUIZ_BURRUYACU_ELAZUL_F23,-26.44443102,-64.61489703,DK7210RR2,PDIP,,75.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-08 00:00:00.000000 UTC,SRUIZ_BENJAMINARAOZ_NEOCAMPO_F23,-26.59261701,-64.78445304,DK7270TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
