protocolType,FIELD_pipeline,FIELD_plantingDate,FIELD_locationName,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,SETS_setName
FTN,South,2023-11-09 00:00:00.000000 UTC,Tandil Buenos Aires Argentina,RLOPE1_VELA_SCHANG_EARLY_F23,-37.503508,-59.3670098,NEXT226PWUE,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-11-09 00:00:00.000000 UTC,Tandil Buenos Aires Argentina,RLOPE1_VELA_SCHANG_EARLY_F23,-37.503508,-59.3670098,DK7210PRO4,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-11-09 00:00:00.000000 UTC,Tandil Buenos Aires Argentina,RLOPE1_VELA_SCHANG_EARLY_F23,-37.503508,-59.3670098,DK7210PRO4,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-11-09 00:00:00.000000 UTC,Tandil Buenos Aires Argentina,RLOPE1_VELA_SCHANG_EARLY_F23,-37.503508,-59.3670098,NK842VIPTERA3,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-11-09 00:00:00.000000 UTC,Tandil Buenos Aires Argentina,RLOPE1_VELA_SCHANG_EARLY_F23,-37.503508,-59.3670098,NK842VIPTERA3,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-11-09 00:00:00.000000 UTC,Tandil Buenos Aires Argentina,RLOPE1_VELA_SCHANG_EARLY_F23,-37.503508,-59.3670098,DK7210RR2,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-11-09 00:00:00.000000 UTC,Tandil Buenos Aires Argentina,RLOPE1_VELA_SCHANG_EARLY_F23,-37.503508,-59.3670098,DK7210RR2,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-11-09 00:00:00.000000 UTC,Tandil Buenos Aires Argentina,RLOPE1_VELA_SCHANG_EARLY_F23,-37.503508,-59.3670098,DK7272VT3P,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-11-09 00:00:00.000000 UTC,Tandil Buenos Aires Argentina,RLOPE1_VELA_SCHANG_EARLY_F23,-37.503508,-59.3670098,DK7272VT3P,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-11-16 00:00:00.000000 UTC,Carmen de Areco Buenos Aires Argentina,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,DK7272TRE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-11-16 00:00:00.000000 UTC,Carmen de Areco Buenos Aires Argentina,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,DK7272TRE,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-11-16 00:00:00.000000 UTC,Carmen de Areco Buenos Aires Argentina,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,DK7210PRO4,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-11-16 00:00:00.000000 UTC,Carmen de Areco Buenos Aires Argentina,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,DK7210PRO4,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-11-16 00:00:00.000000 UTC,Carmen de Areco Buenos Aires Argentina,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,DK7210RR2,DSSFP,N/A,8.0,,FTNTEMP
FTN,South,2023-11-16 00:00:00.000000 UTC,Carmen de Areco Buenos Aires Argentina,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,DK7210RR2,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-11-16 00:00:00.000000 UTC,Carmen de Areco Buenos Aires Argentina,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,DK7272VT3P,DSSFP,N/A,7.0,,FTNTEMP
