protocolType,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,createdTechnology,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_observationRepetition,OBS_numValue,QC_Flag,SETS_setName
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,AX7370MQK1,YLD,N/A,1.0,168.87,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,DK6962VT3P,YLD,N/A,1.0,165.98,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,AX7369MQK1,YLD,N/A,1.0,162.94,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,LT725TRE,YLD,N/A,1.0,160.67,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,LT720VT3P,YLD,N/A,1.0,159.41,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,DK7272TRE,YLD,N/A,1.0,160.86,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,AY6924MQK1,YLD,N/A,1.0,158.59,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,PRO4,DK7220VTPRO4,YLD,N/A,1.0,154.9,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,AY7291FHJ2,YLD,N/A,1.0,163.28,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,DK7447TRE,YLD,N/A,1.0,161.34,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,DK7210RR2,YLD,N/A,1.0,160.86,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,DK7303TRE,YLD,N/A,1.0,160.83,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,BRV8380PWUE,YLD,N/A,1.0,157.02,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,1.0,2.0,,FTNTEMP
